Comment,Designator,Footprint,LCSC Part Number
"0.1u","C101,C105,C106,C107,C109","Capacitor_SMD:C_0402_1005Metric",""
"4.7nF","C102,C103,C104","Capacitor_SMD:C_0402_1005Metric",""
"0.33u","C108","Capacitor_SMD:C_0805_2012Metric",""
"Conn_01x10","J101","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",""
"1Meg","R101,R102,R103","Resistor_SMD:R_0402_1005Metric",""
"1k","R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114","Resistor_SMD:R_0402_1005Metric",""
"10","R115,R116,R117,R118,R119,R120,R121,R122","Resistor_SMD:R_0603_1608Metric",""
"Slider_7pos","SW101","Button_Slider_Capacitive:Slider_Flooded_H12mm_W84mm_7pos",""
"Touchbutton","SW102,SW104","Button_Slider_Capacitive:Button_Interleaved_D12mm_P0.5mm",""
"Slider_7pos","SW103","Button_Slider_Capacitive:Slider_Interleaved_H12mm_W72mm_7pos",""
"Wheel_3pos","SW105","Button_Slider_Capacitive:Wheel_Flooded_R13mm",""
"Touchbutton","SW106","Button_Slider_Capacitive:Button_Flooded_D12",""
"Wheel_Interleaved_8pos","SW107","Button_Slider_Capacitive:Wheel_Interleaved_R17mm",""
"AT42QT1245-AU","U101","Package_QFP:TQFP-32_7x7mm_P0.8mm",""
"UTC78L05_SOT89","U102","Package_TO_SOT_SMD:SOT-89-3",""